dataset,seed,model,status,rows,features,target_0_count,target_1_count,train_rows,validation_rows,test_rows,train_positive_count,validation_positive_count,test_positive_count,learning_rate,iterations,threshold,threshold_score,training_time_seconds,prediction_time_seconds,accuracy,majority_baseline_accuracy,accuracy_gain_over_majority,balanced_accuracy,majority_recall,minority_recall,minority_precision,minority_f1,minority_error_rate,false_positive_rate,mcc,roc_auc,average_precision,tn,fp,fn,tp
df2,1,gaar_focal_loss_f1_threshold,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5643434343434344,0.6507936507936508,2.1868604570045136,0.00016488501569256186,0.8731808731808732,0.8357588357588358,0.037422037422037424,0.8478493607909818,0.8855721393034826,0.810126582278481,0.5818181818181818,0.6772486772486772,0.189873417721519,0.11442786069651742,0.6137118090986182,0.9353863593425279,0.6906438923623779,356,46,15,64
df2,1,cagd,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5,,3.5003444110043347,0.00018104800255969167,0.972972972972973,0.8357588357588358,0.13721413721413722,0.9380628503054349,0.9900497512437811,0.8860759493670886,0.9459459459459459,0.9150326797385621,0.11392405063291139,0.009950248756218905,0.8996631412037,0.9943636249134077,0.9805011419893539,398,4,9,70
df2,1,gaar_cagd,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5,,4.945685131009668,0.0001796559663489461,0.9812889812889813,0.8357588357588358,0.14553014553014554,0.9633793060016373,0.9900497512437811,0.9367088607594937,0.9487179487179487,0.9426751592356688,0.06329113924050633,0.009950248756218905,0.9315225620079999,0.9946785062031614,0.9837910077235682,398,4,5,74
df2,1,focal_loss_cagd,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5,,3.6772876539616846,0.000184549018740654,0.9501039501039501,0.8357588357588358,0.1143451143451143,0.8836985956294476,0.9825870646766169,0.7848101265822784,0.8985507246376812,0.8378378378378378,0.21518987341772153,0.017412935323383085,0.8110985483148536,0.9777693809433844,0.8900050567565962,395,7,17,62
df2,1,cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.31686868686868686,0.9380530973451328,3.5390273649827577,0.00022087496472522616,0.9771309771309772,0.8357588357588358,0.14137214137214138,0.9558064109830594,0.9875621890547264,0.9240506329113924,0.9358974358974359,0.9299363057324841,0.0759493670886076,0.012437810945273632,0.916298915897445,0.9943636249134077,0.9805011419893539,397,5,6,73
df2,1,gaar_focal_loss_cagd,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5,,4.988921888987534,0.00018350000027567148,0.9584199584199584,0.8357588357588358,0.12266112266112261,0.9598683796208829,0.9577114427860697,0.9620253164556962,0.8172043010752689,0.8837209302325582,0.0379746835443038,0.04228855721393035,0.8628449853909054,0.9900497512437811,0.9584457676648268,385,17,3,76
df2,1,gaar_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.45545454545454545,0.9649122807017544,5.0344103570096195,0.00016513100126758218,0.9833679833679834,0.8357588357588358,0.14760914760914756,0.969708419925688,0.9900497512437811,0.9493670886075949,0.9493670886075949,0.9493670886075949,0.05063291139240506,0.009950248756218905,0.939416839851376,0.9946785062031614,0.9837910077235682,398,4,4,75
df2,1,focal_loss_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.4257575757575757,0.8135593220338984,3.654590419959277,0.00035090098390355706,0.9313929313929314,0.8357588357588358,0.09563409563409564,0.9131872284148876,0.9402985074626866,0.8860759493670886,0.7446808510638298,0.8092485549132948,0.11392405063291139,0.05970149253731343,0.7721186587471247,0.9777693809433844,0.8900050567565962,378,24,9,70
df2,1,gaar_focal_loss_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,262,56,79,0.01,1000,0.5742424242424242,0.9090909090909091,4.974147760018241,0.00015931797679513693,0.9667359667359667,0.8357588357588358,0.13097713097713093,0.9343315070218527,0.9825870646766169,0.8860759493670886,0.9090909090909091,0.8974358974358975,0.11392405063291139,0.017412935323383085,0.8776914294627925,0.9900497512437811,0.9584457676648268,395,7,9,70
df2,2,default,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,0.44283762894337997,0.00019322300795465708,0.8835758835758836,0.8440748440748441,0.03950103950103945,0.6429720853858785,0.9926108374384236,0.29333333333333333,0.88,0.44,0.7066666666666667,0.007389162561576354,0.4673287184974071,0.9265353037766831,0.7061762220424145,403,3,53,22
